metric,sn,scan_id,scan_processed_date,mean,median,min,max
Can Wall Thickness (mm),LH1T-16,2295,2024-02-01 17:42:15,0.234,0.23452,0.23165,0.23716
Can Inner Diameter (mm),LH1T-17,2296,2024-02-01 17:51:35,20.546,20.54264,20.52010,20.58992
Can Outer Diameter (mm),LH1T-17,2296,2024-02-01 17:51:35,21.014,21.01186,20.99169,21.06187
Can Max Denting (mm),LH1T-17,2296,2024-02-01 17:51:35,0.042,0.04083,0.02626,0.06169
Can Circularity (Dmin/Dmax) (%),LH1T-17,2296,2024-02-01 17:51:35,99.445,99.40113,99.21199,99.84419
Can Wall Thickness (mm),LH1T-17,2296,2024-02-01 17:51:35,0.234,0.23429,0.23206,0.23598
Can Inner Diameter (mm),LH1T-18,2297,2024-02-01 18:00:55,20.544,20.54203,20.51881,20.57899
Can Outer Diameter (mm),LH1T-18,2297,2024-02-01 18:00:55,21.014,21.01187,20.99131,21.05545
Can Max Denting (mm),LH1T-18,2297,2024-02-01 18:00:55,0.036,0.03540,0.02585,0.05546
Can Wall Thickness (mm),LH1T-18,2297,2024-02-01 18:00:55,0.235,0.23516,0.23138,0.23862
Can Circularity (Dmin/Dmax) (%),LH1T-18,2297,2024-02-01 18:00:55,99.696,99.68601,99.53527,99.92034
Can Inner Diameter (mm),LH1T-19,2298,2024-02-01 18:10:15,20.546,20.54567,20.51980,20.58593
Can Outer Diameter (mm),LH1T-19,2298,2024-02-01 18:10:15,21.015,21.01360,20.99213,21.05488
Can Max Denting (mm),LH1T-19,2298,2024-02-01 18:10:15,0.032,0.03125,0.02342,0.05080
Can Wall Thickness (mm),LH1T-19,2298,2024-02-01 18:10:15,0.234,0.23438,0.23165,0.23725
Can Circularity (Dmin/Dmax) (%),LH1T-19,2298,2024-02-01 18:10:15,99.772,99.76074,99.67393,99.91031
Can Outer Diameter (mm),LH1T-20,2299,2024-02-01 18:19:28,21.014,21.01226,20.99074,21.05630
Can Max Denting (mm),LH1T-20,2299,2024-02-01 18:19:28,0.039,0.03585,0.02270,0.06635
Can Wall Thickness (mm),LH1T-20,2299,2024-02-01 18:19:28,0.234,0.23443,0.23197,0.23639
Can Inner Diameter (mm),LH1T-20,2299,2024-02-01 18:19:28,20.545,20.54333,20.51973,20.58655
Can Circularity (Dmin/Dmax) (%),LH1T-20,2299,2024-02-01 18:19:28,99.472,99.42845,99.28836,99.88349
Can Inner Diameter (mm),LH1T-21,2300,2024-02-01 18:28:49,20.542,20.53938,20.51663,20.57797
Can Outer Diameter (mm),LH1T-21,2300,2024-02-01 18:28:49,21.014,21.01196,20.98923,21.05209
Can Max Denting (mm),LH1T-21,2300,2024-02-01 18:28:49,0.045,0.04485,0.02871,0.06238
Can Wall Thickness (mm),LH1T-21,2300,2024-02-01 18:28:49,0.236,0.23580,0.23265,0.24108
Can Circularity (Dmin/Dmax) (%),LH1T-21,2300,2024-02-01 18:28:49,99.279,99.25714,99.04467,99.73112
Can Inner Diameter (mm),LH1T-22,2301,2024-02-01 18:38:06,20.539,20.53607,20.51616,20.58203
Can Outer Diameter (mm),LH1T-22,2301,2024-02-01 18:38:06,21.012,21.00978,20.98883,21.05579
Can Max Denting (mm),LH1T-22,2301,2024-02-01 18:38:06,0.035,0.03523,0.02261,0.05343
Can Circularity (Dmin/Dmax) (%),LH1T-22,2301,2024-02-01 18:38:06,99.356,99.32856,99.09976,99.78900
Can Wall Thickness (mm),LH1T-22,2301,2024-02-01 18:38:06,0.236,0.23662,0.23293,0.23898
Can Inner Diameter (mm),LH1T-23,2302,2024-02-01 18:47:19,20.547,20.54539,20.51441,20.58223
Can Outer Diameter (mm),LH1T-23,2302,2024-02-01 18:47:19,21.012,21.00932,20.98927,21.05455
Can Max Denting (mm),LH1T-23,2302,2024-02-01 18:47:19,0.027,0.02485,0.01932,0.05247
Can Wall Thickness (mm),LH1T-23,2302,2024-02-01 18:47:19,0.233,0.23256,0.23088,0.23744
Can Circularity (Dmin/Dmax) (%),LH1T-23,2302,2024-02-01 18:47:19,99.946,99.94432,99.90298,99.99330
Can Inner Diameter (mm),LH1T-24,2303,2024-02-01 18:56:33,20.544,20.54164,20.51599,20.58182
Can Outer Diameter (mm),LH1T-24,2303,2024-02-01 18:56:33,21.013,21.01065,20.98994,21.05310
Can Max Denting (mm),LH1T-24,2303,2024-02-01 18:56:33,0.038,0.03689,0.02203,0.06327
Can Circularity (Dmin/Dmax) (%),LH1T-24,2303,2024-02-01 18:56:33,99.589,99.56827,99.44430,99.84526
Can Wall Thickness (mm),LH1T-24,2303,2024-02-01 18:56:33,0.235,0.23479,0.23197,0.23725
Can Inner Diameter (mm),LH1T-25,2304,2024-02-01 19:05:53,20.546,20.54495,20.51793,20.58103
Can Max Denting (mm),LH1T-25,2304,2024-02-01 19:05:53,0.037,0.03684,0.02714,0.04965
Can Circularity (Dmin/Dmax) (%),LH1T-25,2304,2024-02-01 19:05:53,99.621,99.61014,99.50086,99.91629
Can Wall Thickness (mm),LH1T-25,2304,2024-02-01 19:05:53,0.234,0.23388,0.23151,0.23730
Can Outer Diameter (mm),LH1T-25,2304,2024-02-01 19:05:53,21.014,21.01246,20.99244,21.05243
Can Inner Diameter (mm),LH1T-26,2305,2024-02-01 19:15:09,20.547,20.54678,20.52219,20.58350
Can Outer Diameter (mm),LH1T-26,2305,2024-02-01 19:15:09,21.017,21.01586,20.99425,21.05726
Can Max Denting (mm),LH1T-26,2305,2024-02-01 19:15:09,0.037,0.03550,0.02174,0.06002
Can Wall Thickness (mm),LH1T-26,2305,2024-02-01 19:15:09,0.235,0.23502,0.23201,0.23689
Can Circularity (Dmin/Dmax) (%),LH1T-26,2305,2024-02-01 19:15:09,99.517,99.49282,99.31135,99.80875
Can Inner Diameter (mm),LH1T-27,2306,2024-02-01 19:24:23,20.543,20.54356,20.51588,20.58149
Can Outer Diameter (mm),LH1T-27,2306,2024-02-01 19:24:23,21.012,21.00932,20.98656,21.05434
Can Max Denting (mm),LH1T-27,2306,2024-02-01 19:24:23,0.032,0.03172,0.02188,0.04311
Can Wall Thickness (mm),LH1T-27,2306,2024-02-01 19:24:23,0.234,0.23384,0.23133,0.23689
Can Circularity (Dmin/Dmax) (%),LH1T-27,2306,2024-02-01 19:24:23,99.728,99.71262,99.61705,99.88863
Can Inner Diameter (mm),LH1T-28,2307,2024-02-01 19:33:37,20.544,20.54379,20.51804,20.58511
Can Outer Diameter (mm),LH1T-28,2307,2024-02-01 19:33:37,21.013,21.01098,20.99007,21.05777
Can Max Denting (mm),LH1T-28,2307,2024-02-01 19:33:37,0.047,0.04527,0.02911,0.07264
Can Circularity (Dmin/Dmax) (%),LH1T-28,2307,2024-02-01 19:33:37,99.178,99.10610,98.88139,99.80019
Can Wall Thickness (mm),LH1T-28,2307,2024-02-01 19:33:37,0.234,0.23429,0.23101,0.23876
Can Outer Diameter (mm),LH1T-29,2308,2024-02-01 19:42:47,21.015,21.01262,20.99101,21.05200
Can Max Denting (mm),LH1T-29,2308,2024-02-01 19:42:47,0.038,0.03525,0.02417,0.06006
Can Circularity (Dmin/Dmax) (%),LH1T-29,2308,2024-02-01 19:42:47,99.584,99.56585,99.41489,99.88150
Can Wall Thickness (mm),LH1T-29,2308,2024-02-01 19:42:47,0.235,0.23475,0.23238,0.23816
Can Inner Diameter (mm),LH1T-29,2308,2024-02-01 19:42:47,20.545,20.54232,20.51689,20.57860
Can Inner Diameter (mm),LH1T-30,2309,2024-02-01 19:52:02,20.547,20.54648,20.51668,20.59492
Can Outer Diameter (mm),LH1T-30,2309,2024-02-01 19:52:02,21.013,21.01160,20.98872,21.06551
Can Max Denting (mm),LH1T-30,2309,2024-02-01 19:52:02,0.038,0.03438,0.02124,0.06652
Can Circularity (Dmin/Dmax) (%),LH1T-30,2309,2024-02-01 19:52:02,99.737,99.73669,99.61982,99.87893
Can Wall Thickness (mm),LH1T-30,2309,2024-02-01 19:52:02,0.233,0.23320,0.23183,0.23602
Can Inner Diameter (mm),LH1T-31,2310,2024-02-01 20:01:19,20.546,20.54361,20.51547,20.57391
Can Outer Diameter (mm),LH1T-31,2310,2024-02-01 20:01:19,21.007,21.00527,20.97684,21.03612
Can Max Denting (mm),LH1T-31,2310,2024-02-01 20:01:19,0.040,0.03969,0.02339,0.05891
Can Circularity (Dmin/Dmax) (%),LH1T-31,2310,2024-02-01 20:01:19,99.677,99.67564,99.53633,99.88557
Can Wall Thickness (mm),LH1T-31,2310,2024-02-01 20:01:19,0.231,0.23069,0.22837,0.23334
Can Inner Diameter (mm),LH1T-32,2311,2024-02-01 20:10:35,20.548,20.54715,20.51973,20.57432
Can Outer Diameter (mm),LH1T-32,2311,2024-02-01 20:10:35,21.009,21.00754,20.98028,21.03870
Can Max Denting (mm),LH1T-32,2311,2024-02-01 20:10:35,0.025,0.02429,0.01890,0.03438
Can Wall Thickness (mm),LH1T-32,2311,2024-02-01 20:10:35,0.230,0.23051,0.22832,0.23447
Can Circularity (Dmin/Dmax) (%),LH1T-32,2311,2024-02-01 20:10:35,99.833,99.82385,99.70422,99.97671
Can Inner Diameter (mm),LH1T-33,2312,2024-02-01 20:19:47,20.545,20.54372,20.51683,20.57349
Can Outer Diameter (mm),LH1T-33,2312,2024-02-01 20:19:47,21.007,21.00601,20.97650,21.03760
Can Max Denting (mm),LH1T-33,2312,2024-02-01 20:19:47,0.033,0.03173,0.02192,0.04879
Can Wall Thickness (mm),LH1T-33,2312,2024-02-01 20:19:47,0.231,0.23078,0.22819,0.23347
Can Circularity (Dmin/Dmax) (%),LH1T-33,2312,2024-02-01 20:19:47,99.742,99.75434,99.62272,99.91080
Can Inner Diameter (mm),LH1T-34,2313,2024-02-01 20:29:02,20.547,20.54649,20.51603,20.57248
Can Outer Diameter (mm),LH1T-34,2313,2024-02-01 20:29:02,21.006,21.00486,20.97488,21.03513
Can Max Denting (mm),LH1T-34,2313,2024-02-01 20:29:02,0.028,0.02731,0.02098,0.03688
Can Wall Thickness (mm),LH1T-34,2313,2024-02-01 20:29:02,0.230,0.22987,0.22810,0.23306
Can Circularity (Dmin/Dmax) (%),LH1T-34,2313,2024-02-01 20:29:02,99.714,99.68570,99.58157,99.88466
Can Inner Diameter (mm),LH1T-35,2314,2024-02-01 20:38:13,20.545,20.54195,20.51512,20.57409
Can Outer Diameter (mm),LH1T-35,2314,2024-02-01 20:38:13,21.006,21.00454,20.97772,21.03784
Can Max Denting (mm),LH1T-35,2314,2024-02-01 20:38:13,0.040,0.03889,0.02653,0.06522
Can Wall Thickness (mm),LH1T-35,2314,2024-02-01 20:38:13,0.231,0.23101,0.22873,0.23329
Can Circularity (Dmin/Dmax) (%),LH1T-35,2314,2024-02-01 20:38:13,99.534,99.51694,99.32778,99.87980
Can Inner Diameter (mm),LH1T-36,2315,2024-02-01 20:47:32,20.547,20.54421,20.51761,20.57492
Can Outer Diameter (mm),LH1T-36,2315,2024-02-01 20:47:32,21.009,21.00668,20.97780,21.03776
Can Max Denting (mm),LH1T-36,2315,2024-02-01 20:47:32,0.040,0.03924,0.02512,0.04912
Can Wall Thickness (mm),LH1T-36,2315,2024-02-01 20:47:32,0.231,0.23056,0.22732,0.23384
Can Circularity (Dmin/Dmax) (%),LH1T-36,2315,2024-02-01 20:47:32,99.658,99.64288,99.51369,99.86616
Can Inner Diameter (mm),LH1T-37,2316,2024-02-01 20:56:47,20.544,20.54166,20.51467,20.57221
Can Outer Diameter (mm),LH1T-37,2316,2024-02-01 20:56:47,21.006,21.00414,20.97591,21.03482
Can Max Denting (mm),LH1T-37,2316,2024-02-01 20:56:47,0.060,0.06045,0.03781,0.08143
Can Wall Thickness (mm),LH1T-37,2316,2024-02-01 20:56:47,0.231,0.23097,0.22873,0.23261
Can Circularity (Dmin/Dmax) (%),LH1T-37,2316,2024-02-01 20:56:47,99.339,99.29806,99.07597,99.76286
Can Outer Diameter (mm),LH1T-38,2317,2024-02-01 21:06:08,21.007,21.00558,20.97478,21.03829
Can Max Denting (mm),LH1T-38,2317,2024-02-01 21:06:08,0.036,0.03472,0.02343,0.06993
Can Circularity (Dmin/Dmax) (%),LH1T-38,2317,2024-02-01 21:06:08,99.794,99.78285,99.69681,99.91615
Can Wall Thickness (mm),LH1T-38,2317,2024-02-01 21:06:08,0.231,0.23142,0.22855,0.23452
Can Inner Diameter (mm),LH1T-38,2317,2024-02-01 21:06:08,20.545,20.54383,20.51512,20.57545
Can Inner Diameter (mm),LH1T-39,2318,2024-02-01 21:15:29,20.547,20.54515,20.51804,20.57538
Can Outer Diameter (mm),LH1T-39,2318,2024-02-01 21:15:29,21.008,21.00626,20.98086,21.03813
Can Max Denting (mm),LH1T-39,2318,2024-02-01 21:15:29,0.037,0.03733,0.02372,0.05042
Can Circularity (Dmin/Dmax) (%),LH1T-39,2318,2024-02-01 21:15:29,99.662,99.65471,99.54513,99.86580
Can Wall Thickness (mm),LH1T-39,2318,2024-02-01 21:15:29,0.230,0.23037,0.22855,0.23370
