metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (Bottom) (mm),LH1T-27,2306,2024-02-01 19:24:23,0.595,0.59131,0.37756,0.78788
Anode Overhang (All) (mm),LH1T-28,2307,2024-02-01 19:33:37,0.565,0.55784,0.42256,0.70995
Anode Overhang (Top) (mm),LH1T-28,2307,2024-02-01 19:33:37,0.540,0.54145,0.42256,0.69366
Anode Overhang (Bottom) (mm),LH1T-28,2307,2024-02-01 19:33:37,0.591,0.59063,0.44310,0.70995
Anode Overhang (All) (mm),LH1T-29,2308,2024-02-01 19:42:47,0.564,0.55856,0.45920,0.67260
Anode Overhang (Top) (mm),LH1T-29,2308,2024-02-01 19:42:47,0.566,0.57423,0.45920,0.67260
Anode Overhang (Bottom) (mm),LH1T-29,2308,2024-02-01 19:42:47,0.562,0.55784,0.45920,0.65600
Anode Overhang (All) (mm),LH1T-30,2309,2024-02-01 19:52:02,0.552,0.55784,0.32800,0.78788
Anode Overhang (Top) (mm),LH1T-30,2309,2024-02-01 19:52:02,0.628,0.59607,0.50866,0.78788
Anode Overhang (Bottom) (mm),LH1T-30,2309,2024-02-01 19:52:02,0.481,0.51261,0.32800,0.59245
Anode Overhang (All) (mm),LH1T-31,2310,2024-02-01 20:01:19,0.565,0.55856,0.42640,0.70596
Anode Overhang (Top) (mm),LH1T-31,2310,2024-02-01 20:01:19,0.521,0.52506,0.42640,0.64044
Anode Overhang (Bottom) (mm),LH1T-31,2310,2024-02-01 20:01:19,0.608,0.60702,0.50840,0.70596
Anode Overhang (All) (mm),LH1T-32,2311,2024-02-01 20:10:35,0.556,0.54219,0.39360,0.73873
Anode Overhang (Top) (mm),LH1T-32,2311,2024-02-01 20:10:35,0.588,0.57423,0.42640,0.73873
Anode Overhang (Bottom) (mm),LH1T-32,2311,2024-02-01 20:10:35,0.523,0.52710,0.39360,0.73873
Anode Overhang (All) (mm),LH1T-33,2312,2024-02-01 20:19:47,0.568,0.56145,0.37720,0.75725
Anode Overhang (Top) (mm),LH1T-33,2312,2024-02-01 20:19:47,0.612,0.60680,0.44280,0.75511
Anode Overhang (Bottom) (mm),LH1T-33,2312,2024-02-01 20:19:47,0.522,0.53117,0.37720,0.75725
Anode Overhang (All) (mm),LH1T-34,2313,2024-02-01 20:29:02,0.570,0.57494,0.41000,0.74091
Anode Overhang (Top) (mm),LH1T-34,2313,2024-02-01 20:29:02,0.583,0.57774,0.45920,0.72235
Anode Overhang (Bottom) (mm),LH1T-34,2313,2024-02-01 20:29:02,0.558,0.57423,0.41000,0.74091
Anode Overhang (All) (mm),LH1T-35,2314,2024-02-01 20:38:13,0.567,0.57400,0.47560,0.66334
Anode Overhang (Top) (mm),LH1T-35,2314,2024-02-01 20:38:13,0.579,0.57423,0.47560,0.66334
Anode Overhang (Bottom) (mm),LH1T-35,2314,2024-02-01 20:38:13,0.555,0.55784,0.47560,0.65682
Anode Overhang (All) (mm),LH1T-36,2315,2024-02-01 20:47:32,0.554,0.55856,0.32800,0.80427
Anode Overhang (Top) (mm),LH1T-36,2315,2024-02-01 20:47:32,0.511,0.49879,0.32800,0.75458
Anode Overhang (Bottom) (mm),LH1T-36,2315,2024-02-01 20:47:32,0.600,0.60702,0.41000,0.80427
Anode Overhang (All) (mm),LH1T-37,2316,2024-02-01 20:56:47,0.564,0.56360,0.36080,0.77097
Anode Overhang (Top) (mm),LH1T-37,2316,2024-02-01 20:56:47,0.581,0.59131,0.37398,0.77097
Anode Overhang (Bottom) (mm),LH1T-37,2316,2024-02-01 20:56:47,0.547,0.54120,0.36080,0.68841
Anode Overhang (All) (mm),LH1T-38,2317,2024-02-01 21:06:08,0.566,0.56622,0.42640,0.70691
Anode Overhang (Top) (mm),LH1T-38,2317,2024-02-01 21:06:08,0.511,0.50866,0.42640,0.60769
Anode Overhang (Bottom) (mm),LH1T-38,2317,2024-02-01 21:06:08,0.621,0.62342,0.52480,0.70691
Anode Overhang (All) (mm),LH1T-39,2318,2024-02-01 21:15:29,0.572,0.59040,0.36080,0.77097
Anode Overhang (Top) (mm),LH1T-39,2318,2024-02-01 21:15:29,0.633,0.64483,0.46037,0.77097
Anode Overhang (Bottom) (mm),LH1T-39,2318,2024-02-01 21:15:29,0.511,0.51261,0.36080,0.68958
Anode Overhang (All) (mm),LH1T-40,2319,2024-02-01 21:24:41,0.568,0.57610,0.41000,0.73873
Anode Overhang (Top) (mm),LH1T-40,2319,2024-02-01 21:24:41,0.580,0.57983,0.41000,0.70539
Anode Overhang (Bottom) (mm),LH1T-40,2319,2024-02-01 21:24:41,0.555,0.57400,0.41033,0.73873
