metric,sn,scan_id,scan_processed_date,mean,median,min,max
Core Circularity (MCC) (%),LH1T-19,2298,2024-02-01 18:10:15,83.330,83.44724,82.02767,84.69076
Core Circularity (Dmin/Dmax) (%),LH1T-19,2298,2024-02-01 18:10:15,92.180,92.00803,91.48827,93.70817
Core Concentricity (mm),LH1T-19,2298,2024-02-01 18:10:15,0.133,0.13764,0.11177,0.14622
Core Effective Diameter (mm),LH1T-19,2298,2024-02-01 18:10:15,3.960,3.95960,3.95356,3.96602
Core Area (mm²),LH1T-20,2299,2024-02-01 18:19:28,12.249,12.25799,12.18792,12.30626
Core Circularity (MCC) (%),LH1T-20,2299,2024-02-01 18:19:28,83.016,83.16915,80.20968,84.51796
Core Circularity (Dmin/Dmax) (%),LH1T-20,2299,2024-02-01 18:19:28,91.308,90.96998,89.29869,94.83100
Core Concentricity (mm),LH1T-20,2299,2024-02-01 18:19:28,0.129,0.12902,0.11111,0.14445
Core Effective Diameter (mm),LH1T-20,2299,2024-02-01 18:19:28,3.949,3.95033,3.93906,3.95848
Core Area (mm²),LH1T-21,2300,2024-02-01 18:28:49,12.284,12.28919,12.17932,12.41170
Core Circularity (MCC) (%),LH1T-21,2300,2024-02-01 18:28:49,81.809,82.65968,77.39824,83.94315
Core Circularity (Dmin/Dmax) (%),LH1T-21,2300,2024-02-01 18:28:49,91.100,91.13340,89.63037,93.69294
Core Effective Diameter (mm),LH1T-21,2300,2024-02-01 18:28:49,3.954,3.95560,3.93759,3.97524
Core Concentricity (mm),LH1T-21,2300,2024-02-01 18:28:49,0.183,0.17393,0.13952,0.24242
Core Area (mm²),LH1T-22,2301,2024-02-01 18:38:06,12.404,12.40605,12.34553,12.47329
Core Circularity (MCC) (%),LH1T-22,2301,2024-02-01 18:38:06,83.612,83.52907,82.87402,84.65055
Core Circularity (Dmin/Dmax) (%),LH1T-22,2301,2024-02-01 18:38:06,93.113,92.66477,92.12510,95.24211
Core Concentricity (mm),LH1T-22,2301,2024-02-01 18:38:06,0.150,0.14796,0.13197,0.16687
Core Effective Diameter (mm),LH1T-22,2301,2024-02-01 18:38:06,3.974,3.97431,3.96436,3.98541
Core Area (mm²),LH1T-23,2302,2024-02-01 18:47:19,12.146,12.13386,12.02897,12.30411
Core Circularity (MCC) (%),LH1T-23,2302,2024-02-01 18:47:19,83.530,83.40040,82.36116,84.66978
Core Circularity (Dmin/Dmax) (%),LH1T-23,2302,2024-02-01 18:47:19,95.481,95.39709,94.80679,96.31969
Core Effective Diameter (mm),LH1T-23,2302,2024-02-01 18:47:19,3.933,3.93070,3.91396,3.95821
Core Concentricity (mm),LH1T-23,2302,2024-02-01 18:47:19,0.113,0.11165,0.09582,0.13247
Core Area (mm²),LH1T-24,2303,2024-02-01 18:56:33,12.261,12.27345,12.14085,12.37418
Core Circularity (MCC) (%),LH1T-24,2303,2024-02-01 18:56:33,81.537,81.38511,77.81798,84.15347
Core Circularity (Dmin/Dmax) (%),LH1T-24,2303,2024-02-01 18:56:33,91.118,91.09246,90.26481,92.22690
Core Concentricity (mm),LH1T-24,2303,2024-02-01 18:56:33,0.225,0.22564,0.18135,0.28042
Core Effective Diameter (mm),LH1T-24,2303,2024-02-01 18:56:33,3.951,3.95258,3.93192,3.96935
Core Circularity (MCC) (%),LH1T-25,2304,2024-02-01 19:05:53,82.557,83.14450,79.50390,84.17337
Core Circularity (Dmin/Dmax) (%),LH1T-25,2304,2024-02-01 19:05:53,92.103,92.08629,90.39749,94.55304
Core Effective Diameter (mm),LH1T-25,2304,2024-02-01 19:05:53,3.966,3.96738,3.95444,3.98541
Core Concentricity (mm),LH1T-25,2304,2024-02-01 19:05:53,0.087,0.08984,0.06016,0.11692
Core Area (mm²),LH1T-25,2304,2024-02-01 19:05:53,12.355,12.36584,12.28112,12.47262
Core Area (mm²),LH1T-26,2305,2024-02-01 19:15:09,12.348,12.35656,12.24790,12.45097
Core Circularity (MCC) (%),LH1T-26,2305,2024-02-01 19:15:09,82.945,83.21390,79.82860,84.11773
Core Circularity (Dmin/Dmax) (%),LH1T-26,2305,2024-02-01 19:15:09,92.039,92.28914,89.83506,94.81275
Core Concentricity (mm),LH1T-26,2305,2024-02-01 19:15:09,0.062,0.06182,0.02719,0.10734
Core Effective Diameter (mm),LH1T-26,2305,2024-02-01 19:15:09,3.965,3.96686,3.94895,3.98174
Core Area (mm²),LH1T-27,2306,2024-02-01 19:24:23,12.348,12.35508,12.26686,12.40672
Core Circularity (MCC) (%),LH1T-27,2306,2024-02-01 19:24:23,83.855,83.96834,81.74237,85.49594
Core Circularity (Dmin/Dmax) (%),LH1T-27,2306,2024-02-01 19:24:23,92.280,92.31136,90.85485,94.33910
Core Effective Diameter (mm),LH1T-27,2306,2024-02-01 19:24:23,3.965,3.96625,3.95222,3.97487
Core Concentricity (mm),LH1T-27,2306,2024-02-01 19:24:23,0.098,0.09164,0.07389,0.13085
Core Area (mm²),LH1T-28,2307,2024-02-01 19:33:37,12.417,12.43160,12.31649,12.50543
Core Circularity (MCC) (%),LH1T-28,2307,2024-02-01 19:33:37,82.952,83.09533,79.45452,84.43522
Core Circularity (Dmin/Dmax) (%),LH1T-28,2307,2024-02-01 19:33:37,92.453,92.74047,90.34336,94.89485
Core Effective Diameter (mm),LH1T-28,2307,2024-02-01 19:33:37,3.976,3.97812,3.95935,3.98995
Core Concentricity (mm),LH1T-28,2307,2024-02-01 19:33:37,0.203,0.18920,0.13493,0.27572
Core Area (mm²),LH1T-29,2308,2024-02-01 19:42:47,12.368,12.37808,12.25140,12.44922
Core Circularity (MCC) (%),LH1T-29,2308,2024-02-01 19:42:47,83.465,83.84074,81.14269,85.10643
Core Circularity (Dmin/Dmax) (%),LH1T-29,2308,2024-02-01 19:42:47,91.868,91.78169,90.25859,94.33702
Core Concentricity (mm),LH1T-29,2308,2024-02-01 19:42:47,0.114,0.11504,0.09318,0.13087
Core Effective Diameter (mm),LH1T-29,2308,2024-02-01 19:42:47,3.968,3.97009,3.94921,3.98132
Core Area (mm²),LH1T-30,2309,2024-02-01 19:52:02,12.303,12.30761,12.20204,12.42313
Core Circularity (MCC) (%),LH1T-30,2309,2024-02-01 19:52:02,82.783,82.92666,80.93558,84.19508
Core Circularity (Dmin/Dmax) (%),LH1T-30,2309,2024-02-01 19:52:02,89.887,89.88559,88.37830,92.43105
Core Concentricity (mm),LH1T-30,2309,2024-02-01 19:52:02,0.057,0.05706,0.04214,0.07535
Core Effective Diameter (mm),LH1T-30,2309,2024-02-01 19:52:02,3.958,3.95864,3.94158,3.97741
Core Area (mm²),LH1T-31,2310,2024-02-01 20:01:19,12.485,12.49279,12.39031,12.57872
Core Circularity (MCC) (%),LH1T-31,2310,2024-02-01 20:01:19,83.943,84.00131,83.22566,84.97824
Core Circularity (Dmin/Dmax) (%),LH1T-31,2310,2024-02-01 20:01:19,95.303,95.19471,94.34291,96.72573
Core Effective Diameter (mm),LH1T-31,2310,2024-02-01 20:01:19,3.987,3.98833,3.97221,4.00193
Core Concentricity (mm),LH1T-31,2310,2024-02-01 20:01:19,0.085,0.08462,0.06639,0.10417
Core Area (mm²),LH1T-32,2311,2024-02-01 20:10:35,12.582,12.57576,12.47423,12.71589
Core Circularity (MCC) (%),LH1T-32,2311,2024-02-01 20:10:35,83.800,84.01592,82.48296,84.80130
Core Circularity (Dmin/Dmax) (%),LH1T-32,2311,2024-02-01 20:10:35,96.319,96.04258,95.24565,98.07946
Core Concentricity (mm),LH1T-32,2311,2024-02-01 20:10:35,0.060,0.06708,0.02884,0.09733
Core Effective Diameter (mm),LH1T-32,2311,2024-02-01 20:10:35,4.003,4.00160,3.98549,4.02379
Core Area (mm²),LH1T-33,2312,2024-02-01 20:19:47,12.538,12.53972,12.46818,12.62875
Core Circularity (MCC) (%),LH1T-33,2312,2024-02-01 20:19:47,83.399,83.41513,82.17792,84.92563
Core Circularity (Dmin/Dmax) (%),LH1T-33,2312,2024-02-01 20:19:47,94.525,94.38635,93.40531,96.23051
Core Concentricity (mm),LH1T-33,2312,2024-02-01 20:19:47,0.082,0.08686,0.05650,0.11538
Core Effective Diameter (mm),LH1T-33,2312,2024-02-01 20:19:47,3.995,3.99550,3.98394,4.00980
Core Circularity (MCC) (%),LH1T-34,2313,2024-02-01 20:29:02,83.992,84.11535,82.30116,85.02999
Core Circularity (Dmin/Dmax) (%),LH1T-34,2313,2024-02-01 20:29:02,96.178,95.91443,95.06755,98.67057
Core Area (mm²),LH1T-34,2313,2024-02-01 20:29:02,12.652,12.64852,12.52883,12.79523
Core Effective Diameter (mm),LH1T-34,2313,2024-02-01 20:29:02,4.014,4.01307,3.99376,4.03643
Core Concentricity (mm),LH1T-34,2313,2024-02-01 20:29:02,0.046,0.04954,0.01263,0.09194
Core Area (mm²),LH1T-35,2314,2024-02-01 20:38:13,12.525,12.52453,12.46455,12.61449
Core Circularity (MCC) (%),LH1T-35,2314,2024-02-01 20:38:13,83.604,83.53071,82.48027,84.94216
Core Circularity (Dmin/Dmax) (%),LH1T-35,2314,2024-02-01 20:38:13,92.919,92.86160,92.46247,93.57699
Core Effective Diameter (mm),LH1T-35,2314,2024-02-01 20:38:13,3.993,3.99343,3.98378,4.00777
Core Concentricity (mm),LH1T-35,2314,2024-02-01 20:38:13,0.111,0.11375,0.09224,0.12179
Core Area (mm²),LH1T-36,2315,2024-02-01 20:47:32,12.420,12.42098,12.38198,12.45688
Core Circularity (MCC) (%),LH1T-36,2315,2024-02-01 20:47:32,83.654,83.71896,82.61103,84.78973
Core Circularity (Dmin/Dmax) (%),LH1T-36,2315,2024-02-01 20:47:32,94.201,94.09163,93.26303,95.54884
Core Concentricity (mm),LH1T-36,2315,2024-02-01 20:47:32,0.117,0.11858,0.10367,0.12901
Core Effective Diameter (mm),LH1T-36,2315,2024-02-01 20:47:32,3.977,3.97652,3.97029,3.98242
Core Area (mm²),LH1T-37,2316,2024-02-01 20:56:47,12.472,12.46737,12.39838,12.59620
Core Concentricity (mm),LH1T-37,2316,2024-02-01 20:56:47,0.184,0.18459,0.17205,0.20343
Core Circularity (MCC) (%),LH1T-37,2316,2024-02-01 20:56:47,80.472,80.57366,76.30442,83.34124
Core Effective Diameter (mm),LH1T-37,2316,2024-02-01 20:56:47,3.985,3.98391,3.97314,4.00465
Core Circularity (Dmin/Dmax) (%),LH1T-37,2316,2024-02-01 20:56:47,90.307,90.20754,89.58278,91.33999
Core Area (mm²),LH1T-38,2317,2024-02-01 21:06:08,12.493,12.49776,12.44599,12.52157
Core Circularity (MCC) (%),LH1T-38,2317,2024-02-01 21:06:08,83.628,83.62512,82.78889,85.09765
Core Circularity (Dmin/Dmax) (%),LH1T-38,2317,2024-02-01 21:06:08,94.201,94.23039,93.14512,95.34272
Core Concentricity (mm),LH1T-38,2317,2024-02-01 21:06:08,0.121,0.11959,0.10421,0.14113
Core Effective Diameter (mm),LH1T-38,2317,2024-02-01 21:06:08,3.988,3.98899,3.98084,3.99286
Core Area (mm²),LH1T-39,2318,2024-02-01 21:15:29,12.716,12.70607,12.63816,12.85145
Core Circularity (MCC) (%),LH1T-39,2318,2024-02-01 21:15:29,84.051,83.89260,82.98120,85.21490
Core Circularity (Dmin/Dmax) (%),LH1T-39,2318,2024-02-01 21:15:29,97.362,97.28920,96.51285,98.90409
Core Effective Diameter (mm),LH1T-39,2318,2024-02-01 21:15:29,4.024,4.02244,4.01179,4.04508
Core Concentricity (mm),LH1T-39,2318,2024-02-01 21:15:29,0.072,0.07406,0.05380,0.08432
Core Area (mm²),LH1T-40,2319,2024-02-01 21:24:41,12.694,12.69115,12.59325,12.82522
Core Circularity (MCC) (%),LH1T-40,2319,2024-02-01 21:24:41,83.774,83.80396,82.86062,84.87337
Core Circularity (Dmin/Dmax) (%),LH1T-40,2319,2024-02-01 21:24:41,96.581,96.62293,95.60119,97.81582
Core Concentricity (mm),LH1T-40,2319,2024-02-01 21:24:41,0.118,0.11614,0.08912,0.16036
Core Effective Diameter (mm),LH1T-40,2319,2024-02-01 21:24:41,4.020,4.01993,4.00428,4.04081
Core Area (mm²),LH1T-41,2320,2024-02-01 21:33:57,12.695,12.69720,12.62122,12.78031
Core Circularity (MCC) (%),LH1T-41,2320,2024-02-01 21:33:57,83.914,83.86418,83.21075,85.05830
Core Circularity (Dmin/Dmax) (%),LH1T-41,2320,2024-02-01 21:33:57,97.328,97.30365,96.38485,98.37797
Core Effective Diameter (mm),LH1T-41,2320,2024-02-01 21:33:57,4.021,4.02090,4.00902,4.03412
Core Concentricity (mm),LH1T-41,2320,2024-02-01 21:33:57,0.109,0.10633,0.09237,0.12925
Core Area (mm²),LH1T-42,2321,2024-02-01 21:43:13,12.692,12.67945,12.60064,12.81473
Core Circularity (MCC) (%),LH1T-42,2321,2024-02-01 21:43:13,84.255,84.29162,83.12248,85.07091
Core Circularity (Dmin/Dmax) (%),LH1T-42,2321,2024-02-01 21:43:13,95.660,94.82438,94.09783,99.20679
Core Effective Diameter (mm),LH1T-42,2321,2024-02-01 21:43:13,4.020,4.01811,4.00586,4.03964
Core Concentricity (mm),LH1T-42,2321,2024-02-01 21:43:13,0.044,0.04795,0.00804,0.09659
Core Circularity (MCC) (%),LH1T-43,2322,2024-02-01 21:52:31,82.146,82.25670,79.22074,83.54250
Core Circularity (Dmin/Dmax) (%),LH1T-43,2322,2024-02-01 21:52:31,89.922,89.68626,89.16040,91.59427
Core Area (mm²),LH1T-43,2322,2024-02-01 21:52:31,12.419,12.41708,12.33935,12.56474
Core Concentricity (mm),LH1T-43,2322,2024-02-01 21:52:31,0.206,0.20392,0.17225,0.25179
Core Effective Diameter (mm),LH1T-43,2322,2024-02-01 21:52:31,3.976,3.97587,3.96354,3.99965
Core Area (mm²),LH1T-44,2323,2024-02-01 22:01:49,12.478,12.47652,12.34836,12.66412
