metric,sn,scan_id,scan_processed_date,mean,median,min,max
Cathode Width (mm),LH1T-122,2455,2024-02-04 15:42:06,64.043,64.05878,63.87801,64.17341
Cathode Width (mm),LH1T-123,2456,2024-02-04 15:51:22,64.029,64.04203,63.84525,64.14045
Cathode Width (mm),LH1T-124,2457,2024-02-04 16:00:38,64.028,64.04213,63.87830,64.14075
Cathode Width (mm),LH1T-125,2458,2024-02-04 16:09:50,64.019,64.04200,63.86173,64.15682
Cathode Width (mm),LH1T-126,2459,2024-02-04 16:19:04,64.038,64.05841,63.87801,64.17322
Cathode Width (mm),LH1T-127,2460,2024-02-04 16:28:13,64.032,64.04205,63.86160,64.14053
Cathode Width (mm),LH1T-128,2461,2024-02-04 16:37:23,64.036,64.05842,63.82880,64.14050
Cathode Width (mm),LH1T-129,2462,2024-02-04 16:46:38,64.070,64.07485,63.91080,64.22250
Cathode Width (mm),LH1T-130,2463,2024-02-04 16:55:52,64.056,64.07480,63.94363,64.15685
Cathode Width (mm),LH1T-131,2464,2024-02-04 17:05:02,64.097,64.12402,63.94360,64.20630
Cathode Width (mm),LH1T-132,2465,2024-02-04 17:14:22,64.022,64.04200,63.89441,64.14053
Cathode Width (mm),LH1T-133,2466,2024-02-04 17:23:33,64.023,64.04203,63.86160,64.14057
Cathode Width (mm),LH1T-134,2467,2024-02-04 17:32:49,64.044,64.05865,63.86160,64.17355
Cathode Width (mm),LH1T-135,2468,2024-02-04 17:42:04,64.030,64.05840,63.86160,64.15688
Cathode Width (mm),LH1T-136,2469,2024-02-04 17:51:12,64.033,64.04221,63.86161,64.17322
Cathode Width (mm),LH1T-137,2470,2024-02-04 18:00:25,64.034,64.05840,63.89442,64.15690
Cathode Width (mm),LH1T-138,2471,2024-02-04 18:09:34,64.098,64.12400,63.89440,64.22241
Cathode Width (mm),LH1T-139,2472,2024-02-04 18:18:52,64.039,64.07482,63.87884,64.17330
Cathode Width (mm),LH1T-140,2473,2024-02-04 18:28:06,64.052,64.05850,63.87800,64.17330
Cathode Width (mm),LH1T-141,2474,2024-02-05 08:46:30,64.040,64.05842,63.87800,64.17355
Cathode Width (mm),LH1T-142,2475,2024-02-04 18:40:05,64.036,64.04205,63.87800,64.17325
Cathode Width (mm),LH1T-143,2476,2024-02-04 18:49:20,64.137,64.15690,63.94362,64.27168
Cathode Width (mm),LH1T-144,2477,2024-02-04 18:58:33,64.039,64.05865,63.89445,64.17320
Cathode Width (mm),LH1T-145,2478,2024-02-04 19:07:50,64.042,64.05842,63.86165,64.17330
Cathode Width (mm),LH1T-146,2479,2024-02-04 19:17:05,64.031,64.04213,63.87805,64.15727
Cathode Width (mm),LH1T-147,2480,2024-02-04 19:26:21,64.044,64.05870,63.84525,64.17330
Cathode Width (mm),LH1T-148,2481,2024-02-04 19:35:38,64.085,64.10770,63.94360,64.20605
Cathode Width (mm),LH1T-149,2482,2024-02-04 19:44:51,64.041,64.05845,63.87800,64.15693
Cathode Width (mm),LH1T-150,2483,2024-02-04 19:54:04,64.050,64.07490,63.87808,64.18977
Cathode Width (mm),LH1T-151,2484,2024-02-04 20:03:23,64.041,64.05853,63.86162,64.17341
Cathode Width (mm),LH1T-152,2485,2024-02-04 20:12:41,64.037,64.05850,63.87800,64.17325
